;2.01.2009;2.02.2009;2.03.2009;1.04.2009;4.05.2009;1.06.2009;1.07.2009;3.08.2009;1.09.2009;1.10.2009;2.11.2009;1.12.2009
1w;2,357;1,421;1,324;0,981;0,773;0,882;0,47;0,354;0,341;0,350;0,357;0,379
2w;2,429;1,527;1,39;1,008;0,825;0,897;0,56;0,392;0,370;0,368;0,369;0,394
3w;2,481;1,623;1,457;1,049;0,863;0,904;0,641;0,441;0,406;0,393;0,384;0,413
1m;2,570;1,735;1,518;1,105;0,931;0,933;0,74;0,526;0,481;0,439;0,424;0,476
2m;2,754;1,909;1,669;1,308;1,157;1,082;0,899;0,712;0,663;0,592;0,578;0,579
3m;2,859;2,077;1,811;1,498;1,354;1,266;1,085;0,886;0,819;0,754;0,722;0,720
4m;2,893;2,111;1,856;1,571;1,424;1,334;1,169;0,971;0,919;0,843;0,816;0,809
5m;2,908;2,138;1,881;1,608;1,48;1,401;1,239;1,057;0,996;0,925;0,904;0,900
6m;2,945;2,162;1,919;1,656;1,553;1,464;1,303;1,137;1,080;1,017;1,004;0,997
7m;2,962;2,184;1,942;1,689;1,589;1,491;1,341;1,178;1,119;1,064;1,049;1,039
8m;2,976;2,200;1,954;1,711;1,618;1,528;1,378;1,216;1,162;1,104;1,091;1,082
9m;2,991;2,213;1,974;1,73;1,643;1,556;1,419;1,259;1,200;1,147;1,132;1,124
10m;3,002;2,229;1,993;1,753;1,670;1,58;1,443;1,294;1,234;1,183;1,167;1,160
11m;3,013;2,245;2,007;1,777;1,695;1,603;1,473;1,322;1,274;1,211;1,203;1,199
12m;3,025;2,259;2,025;1,801;1,718;1,626;1,497;1,346;1,302;1,237;1,237;1,236
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
